loan_id,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,inquiries_last_12m,total_credit_limit,total_credit_utilized,num_historical_failed_to_pay,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,grade,loan_status,risk_level,credit_utilization_ratio
20,1,CA,Mortgage,83000.0,Source Verified,18.44,3,1,555154.0,39482.0,0,0,Debt Consolidation,20000,60,15.05,C,Fully Paid,Low Risk,0.0711190048166815
21,10,KY,Mortgage,50000.0,Not Verified,15.6,0,0,70313.0,18128.0,0,0,Credit Card,7000,36,6.08,A,Current,Medium Risk,0.25781861106765463
22,1,NV,Mortgage,42000.0,Source Verified,32.0,0,4,272403.0,47575.0,1,1,Credit Card,10000,36,11.98,B,Current,Medium Risk,0.17464932471375133
23,5,NJ,Mortgage,100000.0,Not Verified,26.53,0,1,566384.0,134774.25,0,0,Debt Consolidation,21050,60,13.59,C,Current,Medium Risk,0.23795560962174073
24,6,TX,Mortgage,40280.0,Verified,7.27,0,1,188450.0,6103.0,0,0,Home Improvement,3500,36,6.71,A,Current,Medium Risk,0.03238524807641284
25,10,VA,Rent,82000.0,Not Verified,17.31,0,1,65425.0,69177.0,0,0,Credit Card,8000,36,7.96,A,Current,Medium Risk,1.0573481085212075
26,7,PA,Mortgage,55000.0,Source Verified,14.42,0,0,197985.0,17296.0,0,0,Debt Consolidation,18000,60,12.61,C,Current,Medium Risk,0.08736015354698588
27,1,NY,Rent,55000.0,Source Verified,13.68,0,7,41891.0,26637.0,0,0,Credit Card,10000,36,11.98,B,Current,Medium Risk,0.6358645055023752
28,5,IL,Rent,33000.0,Not Verified,19.38,0,0,43876.0,22920.0,0,0,Debt Consolidation,3200,36,7.34,A,Current,Medium Risk,0.5223812562676634
29,3,GA,Rent,60000.0,Not Verified,11.0,0,0,56000.0,14338.0,0,0,Debt Consolidation,10000,36,5.32,A,Current,Medium Risk,0.2560357142857143
30,4,MO,Mortgage,48000.0,Source Verified,2.88,0,2,147217.0,2489.0,0,0,House,6000,36,6.07,A,Current,Medium Risk,0.01690701481486513
31,4,CA,Mortgage,106000.0,Verified,26.25,0,2,405236.0,105548.0,0,0,Debt Consolidation,12000,36,12.62,C,Current,Medium Risk,0.260460571123987
32,3,TX,Mortgage,170000.0,Source Verified,24.9,0,1,591484.375,134774.25,0,0,Debt Consolidation,40000,60,9.44,B,Current,Medium Risk,0.22785766741513672
33,9,AR,Mortgage,50000.0,Verified,36.75,1,0,246210.0,51523.0,0,0,Credit Card,19000,60,19.03,D,Current,Medium Risk,0.20926444904756103
34,3,SC,Mortgage,80000.0,Source Verified,28.3,0,0,250359.0,113927.0,0,0,Debt Consolidation,28000,60,20.39,D,Current,Medium Risk,0.4550545416781502
35,10,CA,Mortgage,140000.0,Not Verified,13.82,0,2,591484.375,69647.0,0,0,Debt Consolidation,15000,60,9.93,B,Fully Paid,Low Risk,0.11774951789723946
36,1,MD,Own,70000.0,Source Verified,0.0,0,0,30400.0,92.0,0,0,Small Business,2400,36,6.08,A,Fully Paid,Low Risk,0.0030263157894736843
37,2,MD,Rent,45000.0,Source Verified,10.59,0,1,14500.0,13304.0,0,0,Debt Consolidation,10000,36,21.45,D,Current,Medium Risk,0.9175172413793103
38,10,NJ,Mortgage,70000.0,Verified,17.06,0,2,363649.0,29954.0,0,0,Car,24000,60,15.04,C,In Grace Period,High Risk,0.08237063762034269
39,2,PA,Rent,75000.0,Not Verified,18.53,0,2,55075.0,34186.0,0,0,Other,9500,36,10.42,B,Current,Medium Risk,0.6207172038129823
40,2,CA,Rent,53592.0,Source Verified,7.1,0,0,42499.0,10466.0,0,0,Other,30000,36,12.61,C,Current,Medium Risk,0.24626461799101154
41,6,MI,Mortgage,19000.0,Not Verified,24.79,0,0,23234.0,12435.0,1,1,Other,10000,60,18.06,D,Current,Medium Risk,0.535207024188689
42,5,MD,Rent,90000.0,Source Verified,15.72,0,8,77285.0,51012.0,0,0,Moving,15000,60,11.99,B,Current,Medium Risk,0.6600504625735912
43,10,VA,Rent,77000.0,Source Verified,14.82,0,0,74852.0,44015.0,0,0,Debt Consolidation,35000,60,15.05,C,Current,Medium Risk,0.5880270400256506
44,2,TX,Rent,42000.0,Source Verified,25.89,0,1,43239.0,31094.0,0,0,Credit Card,10000,36,15.05,C,Current,Medium Risk,0.7191193135826452
45,4,TX,Mortgage,130000.0,Source Verified,13.51,0,2,403408.0,49857.0,0,0,Home Improvement,40000,60,12.62,C,Current,Medium Risk,0.12358951731249752
46,10,NC,Own,76300.0,Not Verified,10.71,0,4,185068.0,26515.0,1,1,Debt Consolidation,15000,36,6.72,A,Current,Medium Risk,0.14327166230790844
47,2,FL,Mortgage,170000.0,Not Verified,2.68,0,0,175300.0,18870.0,0,0,Debt Consolidation,20000,36,6.71,A,Current,Medium Risk,0.1076440387906446
48,0,TX,Rent,41000.0,Verified,25.7,0,0,29311.0,13527.0,0,0,Debt Consolidation,4500,36,15.05,C,Current,Medium Risk,0.46149909590256216
49,2,NE,Rent,30000.0,Not Verified,3.64,0,0,18000.0,5542.0,0,0,Car,16000,60,9.93,B,Current,Medium Risk,0.3078888888888889
50,6,NC,Mortgage,88000.0,Source Verified,17.24,0,2,404236.0,134774.25,0,0,Credit Card,10000,36,10.42,B,Current,Medium Risk,0.33340486745366565
51,2,TX,Mortgage,115000.0,Verified,18.72,0,6,394519.0,69124.0,0,0,Debt Consolidation,20000,60,22.91,E,Current,Medium Risk,0.17521082634803392
52,10,TX,Rent,95731.0,Not Verified,19.64,0,1,86768.0,53109.0,0,0,Debt Consolidation,20600,60,30.79,G,Current,Medium Risk,0.6120804905034114
53,2,CA,Rent,127000.0,Source Verified,9.12,1,0,74518.0,34313.0,0,0,Major Purchase,35000,60,15.05,C,Current,Medium Risk,0.4604659276953219
54,10,GA,Mortgage,75000.0,Source Verified,22.91,0,0,224758.0,63799.0,0,0,Debt Consolidation,10000,36,6.07,A,Current,Medium Risk,0.2838564144546579
55,5,NC,Mortgage,70000.0,Not Verified,21.41,0,1,279995.0,52244.0,0,0,Debt Consolidation,12000,36,6.07,A,Current,Medium Risk,0.18658904623296846
56,6,FL,Own,22000.0,Source Verified,13.05,0,0,130600.0,4277.0,0,0,Debt Consolidation,1925,36,17.47,D,Current,Medium Risk,0.03274885145482389
57,8,NJ,Mortgage,75000.0,Verified,20.16,0,4,365595.0,30262.0,0,0,House,15000,36,7.34,A,Current,Medium Risk,0.08277465501442853
58,10,NV,Mortgage,73000.0,Verified,39.08,0,8,146435.0,51162.0,1,1,Debt Consolidation,20000,36,13.59,C,Current,Medium Risk,0.349383685594291
59,6,NV,Mortgage,76000.0,Not Verified,14.62,0,2,368543.0,24135.0,0,0,Debt Consolidation,6000,36,6.72,A,Current,Medium Risk,0.06548760931560225
60,10,CO,Rent,170000.0,Not Verified,11.64,0,1,80444.0,45181.0,0,0,Debt Consolidation,10000,36,5.31,A,Current,Medium Risk,0.5616453682064542
61,8,WV,Mortgage,50000.0,Verified,12.15,0,8,97664.0,21687.0,1,1,Debt Consolidation,25000,36,9.93,B,Current,Medium Risk,0.22205725753604194
62,10,MD,Own,58000.0,Source Verified,12.58,0,0,37300.0,14770.0,0,0,Debt Consolidation,10000,36,9.92,B,Current,Medium Risk,0.3959785522788204
63,1,VA,Rent,105000.0,Not Verified,16.73,0,0,63600.0,53168.0,0,0,Debt Consolidation,6000,36,9.93,B,Current,Medium Risk,0.8359748427672956
64,10,VA,Mortgage,114000.0,Verified,28.13,1,1,451597.0,88594.0,0,0,Credit Card,20000,60,14.07,C,Current,Medium Risk,0.19617933688664893
65,10,CA,Mortgage,150000.0,Source Verified,7.89,0,1,96633.0,43253.0,0,0,Medical,15000,36,7.97,A,Current,Medium Risk,0.4476007161114733
66,0,PA,Mortgage,69000.0,Not Verified,15.42,0,0,291176.0,33890.0,0,0,Debt Consolidation,20000,36,5.31,A,Current,Medium Risk,0.11639008709509026
67,10,FL,Mortgage,30000.0,Not Verified,32.4,0,1,69244.0,23425.0,0,0,Debt Consolidation,10500,60,9.93,B,Current,Medium Risk,0.338296458898966
68,5,IL,Mortgage,60000.0,Source Verified,17.28,0,2,47882.0,36724.0,1,1,Credit Card,11400,60,14.08,C,Current,Medium Risk,0.7669687982958105
69,5,NH,Mortgage,74000.0,Not Verified,32.06,0,0,384554.0,63783.0,0,0,Car,5500,36,12.61,C,Current,Medium Risk,0.16586227161855033
70,0,UT,Rent,25000.0,Source Verified,3.7,1,1,1900.0,807.0,0,0,Debt Consolidation,5000,36,12.62,C,Current,Medium Risk,0.42473684210526313
71,6,DE,Own,32000.0,Source Verified,22.09,0,6,30649.0,24714.0,0,0,Other,9600,36,17.47,D,Current,Medium Risk,0.8063558354269307
72,0,MA,Rent,31000.0,Source Verified,16.26,0,2,43430.0,14955.0,0,0,Other,15000,36,12.62,C,Current,Medium Risk,0.34434722542021645
73,3,NJ,Rent,64000.0,Source Verified,8.72,0,0,49500.0,19719.0,0,0,Debt Consolidation,10000,36,6.71,A,Current,Medium Risk,0.39836363636363636
74,3,KY,Rent,24000.0,Source Verified,16.3,0,1,54966.0,42068.0,0,0,Major Purchase,10450,60,19.42,D,Current,Medium Risk,0.7653458501619183
75,2,NC,Mortgage,77000.0,Source Verified,16.04,0,3,188426.0,59514.0,0,0,Credit Card,7200,36,12.62,C,Current,Medium Risk,0.315848131361914
76,10,FL,Mortgage,31000.0,Not Verified,28.42,0,0,190216.0,24861.0,0,0,Debt Consolidation,35000,60,14.08,C,Current,Medium Risk,0.1306987845396812
77,6,OR,Rent,13930.0,Verified,21.94,0,1,13450.0,4212.0,0,0,Debt Consolidation,4200,36,10.91,B,Current,Medium Risk,0.31315985130111523
78,0,OH,Rent,60000.0,Verified,19.22,0,3,69357.0,68594.0,0,0,Other,2400,36,17.47,D,Current,Medium Risk,0.9889989474746601
79,9,TX,Mortgage,41787.0,Verified,37.74,0,1,42639.0,36441.0,0,0,Credit Card,12800,36,18.06,D,Current,Medium Risk,0.8546401182016464
80,4,CA,Mortgage,45000.0,Verified,15.44,0,2,215675.0,13559.0,1,1,Other,8000,36,16.02,C,Current,Medium Risk,0.06286774081372436
81,0,OK,Mortgage,77000.0,Verified,18.39,0,3,174300.0,31663.0,0,0,Debt Consolidation,30000,36,19.03,D,Current,Medium Risk,0.18165806081468733
82,1,PA,Mortgage,72000.0,Source Verified,27.23,0,7,158659.0,65964.0,1,1,Debt Consolidation,7000,36,12.62,C,Current,Medium Risk,0.41575958502196536
83,8,TX,Mortgage,165000.0,Source Verified,11.14,0,2,103527.0,70510.0,0,0,Other,25000,36,6.07,A,Current,Medium Risk,0.6810783660301177
84,10,FL,Mortgage,43000.0,Source Verified,1.56,0,3,45100.0,860.0,0,0,Home Improvement,40000,60,9.43,B,Current,Medium Risk,0.019068736141906874
85,10,VA,Mortgage,90000.0,Verified,17.44,0,1,524622.0,87687.0,0,0,Debt Consolidation,24000,60,10.42,B,Current,Medium Risk,0.167143200247035
86,10,SD,Own,95000.0,Not Verified,11.45,0,2,73740.0,14461.0,1,1,Debt Consolidation,5000,36,7.96,A,Current,Medium Risk,0.19610794684024951
87,10,MO,Mortgage,152000.0,Not Verified,21.09,0,5,476029.0,121076.0,0,0,Small Business,40000,60,13.59,C,Current,Medium Risk,0.2543458486772865
88,2,IL,Mortgage,49500.0,Source Verified,34.86,0,1,241110.0,134774.25,0,0,Credit Card,15000,60,15.04,C,Current,Medium Risk,0.5589741196964041
89,5,TX,Own,32000.0,Source Verified,13.77,0,1,37596.0,18294.0,0,0,Home Improvement,5000,36,12.61,C,Current,Medium Risk,0.486594318544526
90,8,FL,Rent,78000.0,Source Verified,9.61,0,3,48354.0,40982.0,1,1,Credit Card,7000,36,7.96,A,Current,Medium Risk,0.8475410514124995
91,2,AZ,Rent,52000.0,Source Verified,24.39,0,4,86360.0,47451.0,0,0,Debt Consolidation,17450,60,13.58,C,Current,Medium Risk,0.549455766558592
92,10,NY,Mortgage,147000.0,Source Verified,5.16,0,6,386381.0,23551.0,0,0,Debt Consolidation,30000,60,16.01,C,Current,Medium Risk,0.060952790121667474
93,10,NJ,Own,140000.0,Verified,28.53,0,1,454500.0,134774.25,0,0,Debt Consolidation,15000,36,22.91,E,Current,Medium Risk,0.29653300330033006
94,5,IL,Rent,50000.0,Not Verified,20.74,0,8,128476.0,16061.0,0,0,Debt Consolidation,20000,36,7.97,A,Current,Medium Risk,0.1250116753323578
95,6,MN,Rent,55000.0,Not Verified,12.22,4,3,26500.0,10994.0,1,1,Debt Consolidation,15000,60,18.06,D,Current,Medium Risk,0.4148679245283019
96,3,TX,Mortgage,170000.0,Not Verified,15.84,0,0,591484.375,84019.0,0,0,Debt Consolidation,12000,36,6.08,A,Current,Medium Risk,0.14204770836085062
97,10,CO,Rent,126000.0,Source Verified,3.82,0,0,49529.0,7020.0,0,0,Debt Consolidation,16500,36,5.32,A,Current,Medium Risk,0.14173514506652668
98,10,MA,Mortgage,95000.0,Not Verified,15.48,0,2,277964.0,47779.0,1,1,Debt Consolidation,19200,36,5.32,A,Current,Medium Risk,0.1718891655034465
99,10,NJ,Mortgage,80000.0,Source Verified,14.16,0,2,285387.0,22788.0,0,0,Major Purchase,7050,36,9.93,B,Current,Medium Risk,0.07984946756509581
100,10,MN,Mortgage,23000.0,Verified,49.58,0,2,44927.0,29553.0,1,1,Credit Card,15000,60,20.0,D,Current,Medium Risk,0.6578004318116055
101,10,NY,Own,66000.0,Not Verified,13.27,0,0,65475.0,60327.0,0,0,Debt Consolidation,11200,36,15.05,C,Current,Medium Risk,0.9213745704467354
102,5,IL,Rent,60000.0,Source Verified,16.72,0,13,242220.0,30552.0,0,0,Debt Consolidation,8000,36,7.96,A,Current,Medium Risk,0.12613326727768145
103,0,TX,Mortgage,101000.0,Source Verified,18.5,1,2,343573.0,39168.0,0,0,Debt Consolidation,20000,60,26.77,E,Current,Medium Risk,0.11400197337974753
104,4,TN,Mortgage,113000.0,Not Verified,15.28,0,6,591484.375,78028.0,1,1,Home Improvement,10800,60,9.44,B,Current,Medium Risk,0.1319189539030511
105,10,NH,Mortgage,61000.0,Not Verified,19.05,0,9,141543.0,42210.0,0,0,Debt Consolidation,7200,36,13.59,C,Current,Medium Risk,0.29821326381382335
106,1,SC,Rent,28000.0,Source Verified,26.96,0,0,28300.0,13329.0,0,0,Debt Consolidation,12000,36,15.04,C,Current,Medium Risk,0.4709893992932862
107,2,NY,Mortgage,75000.0,Not Verified,21.63,0,2,213035.0,79897.0,0,0,Credit Card,20000,36,5.31,A,Current,Medium Risk,0.37504165982115617
108,2,FL,Mortgage,44000.0,Verified,24.77,0,8,56476.0,40706.0,0,0,Home Improvement,7200,36,14.08,C,Fully Paid,Low Risk,0.7207663432254409
109,2,TX,Rent,60000.0,Source Verified,18.36,0,2,36564.0,20307.0,0,0,Small Business,6000,36,13.59,C,Current,Medium Risk,0.5553823432884805
110,10,TX,Rent,47000.0,Not Verified,18.92,0,0,24823.0,11443.0,0,0,Debt Consolidation,5000,36,7.97,A,Current,Medium Risk,0.4609837650566007
111,2,FL,Rent,58000.0,Source Verified,14.66,0,2,101890.0,43411.0,0,0,Debt Consolidation,16000,60,9.93,B,Current,Medium Risk,0.42605751300422023
112,10,AL,Mortgage,55000.0,Source Verified,29.58,0,0,245213.0,27408.0,0,0,Debt Consolidation,15600,36,6.08,A,Current,Medium Risk,0.11177221436057631
113,6,WY,Rent,31812.0,Not Verified,37.83,0,0,58700.0,38487.0,0,0,Debt Consolidation,10000,60,21.85,D,Current,Medium Risk,0.655655877342419
114,5,CA,Rent,95000.0,Source Verified,13.49,1,2,66559.0,47029.0,0,0,Moving,10000,36,10.42,B,Current,Medium Risk,0.7065761204345017
115,0,PA,Mortgage,65000.0,Source Verified,29.36,7,0,86480.0,66933.0,0,0,Debt Consolidation,30000,36,17.47,D,Current,Medium Risk,0.7739708603145236
116,4,CA,Rent,170000.0,Source Verified,1.12,0,0,27800.0,5459.0,0,0,Debt Consolidation,30000,36,10.9,B,Current,Medium Risk,0.19636690647482014
117,10,CO,Mortgage,55200.0,Not Verified,18.67,0,0,206967.0,57403.0,0,0,Credit Card,16000,36,6.08,A,Current,Medium Risk,0.27735339450250523
118,10,NY,Rent,42000.0,Not Verified,25.23,1,1,55732.0,29882.0,0,0,Credit Card,20000,36,12.61,C,Current,Medium Risk,0.5361731141893347
119,6,MO,Mortgage,30784.0,Verified,27.56,0,2,130301.0,9913.0,0,0,Debt Consolidation,6275,36,23.87,E,Current,Medium Risk,0.07607769702458154
120,4,FL,Own,60000.0,Verified,26.88,0,2,350266.0,76834.0,0,0,Credit Card,15000,36,18.06,D,Current,Medium Risk,0.21935900144461637
121,10,MO,Mortgage,120000.0,Source Verified,21.45,0,0,179741.0,134774.25,0,0,Debt Consolidation,16000,60,13.59,C,Current,Medium Risk,0.7498247478316021
122,4,CA,Mortgage,63000.0,Source Verified,15.3,0,3,33048.0,20366.0,1,1,Debt Consolidation,10000,36,16.02,C,In Grace Period,High Risk,0.6162551440329218
123,10,NY,Mortgage,155000.0,Verified,16.13,0,2,294645.0,96202.0,0,0,Major Purchase,25000,36,9.93,B,Current,Medium Risk,0.32650138302024473
124,1,MA,Rent,40000.0,Source Verified,2.91,0,2,15800.0,2523.0,0,0,Car,12000,36,9.92,B,Current,Medium Risk,0.15968354430379747
125,3,TN,Rent,42500.0,Not Verified,18.55,0,1,41886.0,27474.0,0,0,Credit Card,6000,36,7.35,A,Current,Medium Risk,0.6559232201690303
126,10,NJ,Own,170000.0,Source Verified,9.19,0,2,441037.0,53298.0,0,0,Debt Consolidation,12000,36,10.91,B,Current,Medium Risk,0.12084700376612394
127,4,LA,Mortgage,75000.0,Source Verified,8.46,0,1,293947.0,134774.25,0,0,House,10000,60,13.59,C,Current,Medium Risk,0.45849847081276557
128,0,OH,Mortgage,24000.0,Source Verified,9.8,0,0,15100.0,5929.0,1,1,Debt Consolidation,20000,36,14.07,C,Current,Medium Risk,0.39264900662251656
129,1,MA,Rent,110000.0,Not Verified,11.62,3,6,50939.0,19887.0,0,0,Credit Card,8500,36,7.34,A,Current,Medium Risk,0.3904081352205579
130,10,WV,Own,170000.0,Verified,24.31,0,1,591484.375,110739.0,0,0,Home Improvement,36000,60,15.05,C,Current,Medium Risk,0.18722218993527937
131,10,GA,Rent,145000.0,Verified,14.66,0,0,206996.0,61746.0,0,0,Debt Consolidation,40000,36,6.72,A,Current,Medium Risk,0.2982956192390191
132,4,CA,Mortgage,85000.0,Source Verified,22.73,0,1,428429.0,69424.0,0,0,Debt Consolidation,9000,36,16.01,C,Current,Medium Risk,0.1620431856853761
133,10,PA,Rent,42000.0,Not Verified,9.91,0,0,50600.0,11048.0,0,0,Debt Consolidation,7200,36,7.34,A,Current,Medium Risk,0.2183399209486166
134,3,WI,Rent,36000.0,Not Verified,29.47,0,4,46680.0,44111.0,1,1,Debt Consolidation,6100,36,23.88,E,Current,Medium Risk,0.9449657240788346
135,6,TX,Own,17000.0,Not Verified,27.68,0,1,96126.0,62706.0,0,0,Other,2250,36,15.05,C,Current,Medium Risk,0.6523313151488671
136,10,IN,Own,37000.0,Not Verified,4.25,0,0,19900.0,4154.0,0,0,Debt Consolidation,10000,36,6.72,A,Current,Medium Risk,0.2087437185929648
137,1,CA,Own,45000.0,Source Verified,16.97,0,3,56393.0,20877.0,0,0,Debt Consolidation,25000,36,21.45,D,Current,Medium Risk,0.3702055219619456
138,10,OH,Mortgage,40000.0,Verified,19.44,0,1,38688.0,17445.0,1,1,Debt Consolidation,16000,60,25.82,E,Fully Paid,Low Risk,0.45091501240694787
139,2,CA,Rent,170000.0,Not Verified,6.06,1,2,56000.0,34611.0,0,0,Credit Card,32000,60,14.08,C,Current,Medium Risk,0.6180535714285714
140,3,CA,Rent,51000.0,Verified,17.25,0,1,52441.0,38608.0,1,1,Credit Card,12000,36,15.05,C,Fully Paid,Low Risk,0.736217844816079
141,10,MI,Rent,45000.0,Not Verified,23.33,0,0,85062.0,27762.0,0,0,Debt Consolidation,10000,36,9.44,B,Current,Medium Risk,0.3263737038865768
142,2,NY,Mortgage,31200.0,Verified,33.19,0,2,40580.0,30433.0,0,0,Debt Consolidation,2200,36,17.09,D,Current,Medium Risk,0.7499507146377525
143,1,IL,Rent,27278.0,Not Verified,19.93,0,1,33085.0,21669.0,0,0,Credit Card,4800,36,16.01,C,Current,Medium Risk,0.6549493728275654
144,10,GA,Mortgage,75000.0,Source Verified,15.31,0,2,88855.0,28400.0,1,1,Home Improvement,35000,60,10.9,B,Current,Medium Risk,0.31962185583253616
145,5,KS,Rent,100000.0,Not Verified,22.88,0,2,96081.0,49906.0,0,0,Credit Card,35000,36,12.62,C,Current,Medium Risk,0.519415909493032
146,6,NY,Own,42000.0,Verified,14.4,0,2,18785.0,15755.0,0,0,Other,10000,60,21.45,D,Current,Medium Risk,0.838701091296247
147,10,NY,Mortgage,66000.0,Source Verified,6.11,0,3,246436.0,13900.0,0,0,Major Purchase,2400,36,10.41,B,Current,Medium Risk,0.05640409680403837
148,2,OH,Rent,89000.0,Not Verified,18.65,0,0,114770.0,52475.0,0,0,Credit Card,19600,36,5.32,A,Current,Medium Risk,0.4572187853968807
149,3,MA,Mortgage,50000.0,Verified,27.08,0,2,288973.0,46068.0,1,1,Debt Consolidation,26000,60,21.85,D,Current,Medium Risk,0.159419738176231
150,6,MD,Mortgage,99000.0,Not Verified,11.73,0,3,53203.0,27819.0,1,1,Home Improvement,12000,60,18.06,D,Current,Medium Risk,0.5228840478920361
151,0,AR,Rent,150000.0,Source Verified,7.82,0,2,381481.0,93341.0,0,0,Medical,13000,36,5.32,A,Current,Medium Risk,0.2446806000823108
152,3,NY,Rent,57000.0,Source Verified,18.88,0,3,97124.0,68759.0,0,0,House,11750,60,17.09,D,Current,Medium Risk,0.7079506610106667
153,10,NY,Mortgage,99000.0,Source Verified,20.78,0,1,415771.0,57617.0,0,0,Debt Consolidation,30000,60,9.93,B,Current,Medium Risk,0.13857868874933557
154,6,MS,Rent,44000.0,Source Verified,19.42,0,1,63963.0,39654.0,0,0,Credit Card,7000,36,6.08,A,Current,Medium Risk,0.6199521598424089
155,6,AZ,Rent,65000.0,Not Verified,17.57,2,10,43354.0,34997.0,0,0,Debt Consolidation,20000,60,17.09,D,Current,Medium Risk,0.8072380864510772
156,4,VA,Rent,97000.0,Not Verified,0.33,0,2,25854.0,11195.0,0,0,Other,35000,36,16.01,C,Current,Medium Risk,0.43300843196410616
157,10,IL,Mortgage,30000.0,Not Verified,8.56,0,0,22300.0,10709.0,1,1,Credit Card,10000,60,13.59,C,Current,Medium Risk,0.4802242152466368
158,6,TN,Own,50000.0,Source Verified,14.16,0,2,55089.0,29320.0,0,0,Other,20000,36,9.92,B,Current,Medium Risk,0.5322296647243552
159,5,CA,Mortgage,115000.0,Source Verified,12.89,0,2,527790.0,88149.0,0,0,Small Business,40000,60,15.04,C,Current,Medium Risk,0.1670152901722276
160,2,IL,Mortgage,80000.0,Not Verified,9.92,0,3,322553.0,20241.0,0,0,Credit Card,12000,36,6.71,A,Current,Medium Risk,0.06275247788735494
161,0,OR,Rent,15000.0,Source Verified,7.2,0,0,13800.0,13570.0,0,0,Debt Consolidation,16000,36,17.47,D,Current,Medium Risk,0.9833333333333333
162,7,FL,Mortgage,60000.0,Source Verified,27.06,0,2,94036.0,44347.0,1,1,Debt Consolidation,10000,36,11.99,B,Current,Medium Risk,0.47159598451656815
163,0,CA,Rent,50000.0,Source Verified,13.3,4,1,31300.0,15584.0,0,0,Credit Card,10000,36,13.59,C,Current,Medium Risk,0.49789137380191695
164,9,IN,Mortgage,91000.0,Not Verified,24.99,0,9,307277.0,105205.0,0,0,Debt Consolidation,15000,36,7.35,A,Current,Medium Risk,0.3423783752119423
165,10,MN,Mortgage,75000.0,Source Verified,0.54,0,4,253569.0,42.0,0,0,Major Purchase,24000,60,10.42,B,Current,Medium Risk,0.0001656353891840091
166,10,CA,Mortgage,170000.0,Source Verified,16.72,0,0,591484.375,78003.0,0,0,Debt Consolidation,40000,36,7.97,A,Current,Medium Risk,0.13187668735966188
167,6,TX,Mortgage,65000.0,Not Verified,10.62,0,1,168410.0,25122.0,0,0,Debt Consolidation,25000,60,9.92,B,Current,Medium Risk,0.14917166439047563
